run_id,outer_iter,hypothesis_id,backtest_mode,horizon_days,in_sample_period,out_sample_period,combo_idx,mode,threshold_q,optimal_thresholds,universe,region,qlib_market,provider_uri,benchmark_code,mean,std,annualized_return,information_ratio,max_drawdown,net_return
20260206_142717,outer_iter_5,BH_MR_Exhaustion_6D_v5,qlib_legacy,6.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,13,optuna,,"{'formula004': 0.55, 'formula007': 0.85, 'formula015': 0.7, 'formula011': 0.7, 'formula001': 0.55}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0004870911016831075,0.014389569511059498,0.11592768220057958,0.5222168405207195,-0.3309848534301497,0.5926104594567274
20260205_093220,outer_iter_3,BH_Continuation_TrendPullback_20MA_7D_v1,qlib_native,7.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,11,optuna,,"{'formula012': 0.65, 'formula005_v1': 0.7, 'formula001': 0.65, 'formula009_v1': 0.6}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0004303380279826731,0.012855094457655146,0.10242045065987619,0.5164436380013371,-0.2789936317536408,0.5241307835166713
20260206_144300,outer_iter_2,BH_Continuation_Pullback_7D_v2,qlib_legacy,7.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,54,optuna,,"{'formula003_v2': 0.55, 'formula013': 0.9, 'formula004': 0.8, 'formula012': 0.8, 'formula009_v1': 0.6}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0005900163817077414,0.0177235793492764,0.14042389884644246,0.5135717357887569,-0.6051953347761599,0.6957916061191145
20260205_093008,outer_iter_3,BH_BR_PullbackSupport_15D_v3,qlib_native,15.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,1,optuna,,"{'formula001': 0.65, 'formula013': 0.6, 'formula005': 0.6, 'formula007': 0.55}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0006195199712161739,0.018696717319911762,0.14744575314944938,0.5111853839264091,-0.3821648955345154,0.7192141471663913
20260205_071333,outer_iter_1,BH_Continuation_Pullback_21D_v1,qlib_native,21.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,22,optuna,,"{'formula008': 0.9, 'formula012': 0.7, 'formula004_v1': 0.9, 'formula001_v1': 0.55}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0005349866188151124,0.016154795371327302,0.12732681527799675,0.5108929817688865,-0.4585518662757514,0.6344124522273416
20260205_093220,outer_iter_2,BH_Continuation_TrendPullback_20MA_10D_v1,qlib_native,10.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,20,optuna,,"{'formula008': 0.65, 'formula006': 0.55, 'formula002': 0.9, 'formula011': 0.6}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0004951074989574564,0.01501036959787256,0.11783558475187461,0.5088579885064084,-0.46060032771392156,0.5906086546674632
20260206_142717,outer_iter_5,BH_MR_Exhaustion_6D_v5,qlib_legacy,6.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,11,optuna,,"{'formula004': 0.9, 'formula007': 0.6, 'formula015': 0.7, 'formula010': 0.65, 'formula001': 0.6}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.00048122503900339557,0.014613081558687851,0.11453155928280814,0.5080364664577831,-0.42160414839871885,0.5751418242241906
20260206_142717,outer_iter_5,BH_MR_Exhaustion_6D_v5,qlib_legacy,6.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,48,fixed_q80,0.8,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0007529737584955554,0.02290752150913575,0.17920775452194218,0.5070960370995095,-0.3489718564748765,0.8160992657575674
20260205_033043,outer_iter_3,BH_CT_Uptrend_LiquidityTest_7D_v3,qlib_native,7.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,40,fixed_q80,0.8,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0004987099192553787,0.015203174864702698,0.11869296078278013,0.5060602132351625,-0.3695034605078602,0.592439574856368
20260205_093220,outer_iter_4,BH_Continuation_TrendPullback_20MA_15D_v1,qlib_native,15.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,2,fixed_q80,0.8,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0007572362746636886,0.023254724136350078,0.18022223336995788,0.5023526490890006,-0.6413832742861518,0.8148721317122545
